trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.9020804841440176, 'e': 3.7170318684126666e-05}",25,7,31.672662335765313,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9011784036598737, 'e': 3.363309518571897e-05}",30,19,20.213703341890955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.9002772252562138, 'e': 3.0432483008403625e-05}",25,13,-21.439359165742356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.8993769480309576, 'e': 2.7536449349747158e-05}",25,9,27.94595008731083,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8984775710829266, 'e': 2.491600973150316e-05}",20,6,20.500210978667532,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8975790935118436, 'e': 2.254493791321217e-05}",35,26,14.688842501179927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8966815144183318, 'e': 2.0399503411171922e-05}",20,0,30.62374806820912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.8957848329039134, 'e': 1.8458233995780558e-05}",20,7,24.64043293144198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.8948890480710096, 'e': 1.670170079024566e-05}",25,13,21.034304881538024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8939941590229386, 'e': 1.5112323819855006e-05}",25,16,15.65435503805979,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931001648639156, 'e': 1.3674196065680938e-05}",25,7,33.97280281307517,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922070646990518, 'e': 1.2372924261788221e-05}",20,13,13.951779493327184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913148576343527, 'e': 1.119548484259094e-05}",20,14,10.341157271631946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8904235427767183, 'e': 1.013009359863071e-05}",25,19,11.458938324781018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8895331192339416, 'e': 9.166087736247602e-06}",30,13,32.68883108180552,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886435861147077, 'e': 8.293819160757357e-06}",20,10,18.023377287484195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.887754942528593, 'e': 7.504557915076858e-06}",20,9,19.321695643421283,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8868671875860644, 'e': 6.79040480737947e-06}",35,15,37.54031417654903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8859803203984784, 'e': 6.14421235332821e-06}",20,14,10.901538816661446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.88509434007808, 'e': 5.559513241650137e-06}",20,10,20.629938241399365,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842092457380019, 'e': 5.030455607111439e-06}",20,10,15.171371039223219,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833250364922639, 'e': 4.551744463083231e-06}",25,8,26.815351158712808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8824417114557717, 'e': 4.118588707535708e-06}",35,13,40.18405494681046,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8815592697443159, 'e': 3.726653172078671e-06}",30,16,26.861049626802952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8806777104745716, 'e': 3.3720152341391786e-06}",30,20,20.44126144439409,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8797970327640969, 'e': 3.051125558036417e-06}",25,8,29.281968896591895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789172357313328, 'e': 2.7607725720371986e-06}",25,7,32.585329676093934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8780383184956015, 'e': 2.498050325866635e-06}",30,18,22.6270273478748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8771602801771059, 'e': 2.2603294069810542e-06}",25,15,19.245950212278572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
